87,7 Years,Lukas Graham,593676,2017-01-01,['scandipop'; 'pop'; 'danish pop']
88,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,586302,2017-01-01,['tropical house'; 'new french touch'; 'pop dance']
89,Sneakin’,Drake,580939,2017-01-01,['toronto rap'; 'canadian pop'; 'canadian hip hop'; 'rap'; 'pop rap'; 'hip hop']
90,OOOUUU,Young M.A,580826,2017-01-01,['nyc rap'; 'lgbtq+ hip hop'; 'rap'; 'trap'; 'pop rap']
91,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,579504,2017-01-01,['shiver pop'; 'downtempo'; 'pop'; 'post-teen pop']
92,Make Me (Cry),Noah Cyrus,577810,2017-01-01,['pop'; 'post-teen pop'; 'alt z'; 'dance pop']
93,Lot to Learn,Luke Christopher,570299,2017-01-01,['indie pop rap'; 'pop rap']
94,Fast Car,Jonas Blue,567927,2017-01-01,['tropical house'; 'uk dance'; 'pop dance'; 'pop'; 'dance pop'; 'edm']
95,No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,567639,2017-01-01,['rap'; 'conscious hip hop'; 'chicago rap'; 'pop rap'; 'hip hop']
96,Water Under the Bridge,Adele,565509,2017-01-01,['pop soul'; 'british soul'; 'uk pop'; 'pop']
97,Shout Out to My Ex,Little Mix,561342,2017-01-01,['talent show'; 'pop'; 'girl group'; 'post-teen pop'; 'uk pop'; 'dance pop']
98,No Heart,21 Savage,553704,2017-01-01,['atl hip hop'; 'rap'; 'trap'; 'hip hop']
99,Middle,DJ Snake,552314,2017-01-01,['pop'; 'electronic trap'; 'dance pop'; 'edm'; 'pop dance'; 'pop rap']
100,Dile Que Tu Me Quieres,Ozuna,549784,2017-01-01,['puerto rican pop'; 'trap latino'; 'reggaeton'; 'latin']
101,Me; Myself & I,G-Eazy,546883,2017-01-01,['indie pop rap'; 'oakland hip hop'; 'pop rap'; 'rap'; 'hip hop']
102,Capsize,FRENSHIP,543362,2017-01-01,['la pop'; 'indie poptimism'; 'electropop'; 'tropical house'; 'pop edm'; 'pop dance']
103,Billie Jean,Michael Jackson,538134,2017-01-01,['soul'; 'r&b'; 'pop']
104,Lean On (feat. MØ & DJ Snake),Major Lazer,536139,2017-01-01,['moombahton'; 'pop'; 'edm'; 'dance pop'; 'pop dance'; 'pop rap'; 'electro house']
105,Ay Mi Dios (feat. Pitbull; Yandel & Chacal),IAmChino,534629,2017-01-01,['cubaton'; 'reggaeton']
106,Borro Cassette,Maluma,531529,2017-01-01,['reggaeton colombiano'; 'reggaeton'; 'latin']
107,Andas En Mi Cabeza,Chino & Nacho,523705,2017-01-01,['tamaulipas rap']
108,Sunset Lover,Petit Biscuit,520460,2017-01-01,['new french touch'; 'tropical house']
109,Sidewalks,The Weeknd,516467,2017-01-01,['canadian pop'; 'canadian contemporary r&b'; 'pop']
110,Sex,Cheat Codes,515548,2017-01-01,['pop dance'; 'tropical house'; 'pop'; 'edm'; 'dance pop'; 'electropop'; 'post-teen pop'; 'electro house'; 'pop edm']
111,Final Song,MØ,505038,2017-01-01,['electropop'; 'pop'; 'tropical house'; 'dance pop'; 'art pop'; 'danish pop'; 'indie poptimism']
112,All Time Low,Jon Bellion,501034,2017-01-01,['pop rap']
113,Versace on the Floor,Bruno Mars,500917,2017-01-01,['pop'; 'post-teen pop'; 'dance pop']
114,Six Feet Under,The Weeknd,489564,2017-01-01,['canadian pop'; 'canadian contemporary r&b'; 'pop']
